amplitude,n,type,MSE,MAPE
0.02,30,classical,inf,inf
0.02,31,abstract,0.14967572602786086,44.26157893524545
0.02,31,classical,inf,inf
0.02,32,abstract,0.15076398898061313,44.26204166037465
0.02,32,classical,inf,inf
0.02,33,abstract,0.15055054396850895,44.26228145794831
0.02,33,classical,inf,inf
0.02,34,abstract,0.15056409735409187,44.25193796098924
0.02,34,classical,inf,inf
0.02,35,abstract,0.1506383889730073,44.270134414314846
0.02,35,classical,inf,inf
0.02,36,abstract,0.1507996782894864,44.25462670674
0.02,36,classical,inf,inf
0.02,37,abstract,0.15053018906256044,44.27536234484441
0.02,37,classical,inf,inf
0.02,38,abstract,0.15015891797125236,44.2331064221335
0.02,38,classical,inf,inf
0.02,39,abstract,0.15061110451571239,44.25197275188408
0.02,39,classical,inf,inf
0.02,40,abstract,0.15088605667490357,44.268524696609816
0.02,40,classical,inf,inf
0.02,41,abstract,0.15040615474705357,44.25144910005157
0.02,41,classical,inf,inf
0.02,42,abstract,0.150117383212165,44.26196480653202
0.02,42,classical,inf,inf
0.02,43,abstract,0.1508164593721157,44.27398352873582
0.02,43,classical,inf,inf
0.02,44,abstract,0.15027727040997343,44.29400903439766
0.02,44,classical,inf,inf
0.02,45,abstract,0.1508963674979722,44.259531264582634
0.02,45,classical,inf,inf
0.02,46,abstract,0.15024947833985725,44.243061144771154
0.02,46,classical,inf,inf
0.02,47,abstract,0.15093348795626288,44.27786050532081
0.02,47,classical,inf,inf
0.02,48,abstract,0.14988717034293064,44.25656155516038
0.02,48,classical,inf,inf
0.02,49,abstract,0.15031059561784535,44.2469830821729
0.02,49,classical,inf,inf
0.02,50,abstract,0.15053931591908493,44.27633664537883
0.02,50,classical,inf,inf
0.02,51,abstract,0.15104659365066497,44.24337002573338
0.02,51,classical,inf,inf
0.02,52,abstract,0.1503372109167317,44.29677936387968
0.02,52,classical,inf,inf
0.02,53,abstract,0.1501990798360092,44.24335436906443
0.02,53,classical,inf,inf
0.02,54,abstract,0.15022883134273787,44.253526965734885
0.02,54,classical,inf,inf
0.02,55,abstract,0.15032828473037954,44.25875886166104
0.02,55,classical,inf,inf
0.02,56,abstract,0.1501345444801915,44.27642722696339
0.02,56,classical,inf,inf
0.02,57,abstract,0.15022810186929073,44.24053736823031
0.02,57,classical,inf,inf
0.02,58,abstract,0.15035473456142356,44.26719495888251
0.02,58,classical,inf,inf
0.02,59,abstract,0.15031876871409947,44.25617341376207
